ref,station_distance,pub_date,studio,n_rooms,area,floor,mcc,circle,center_distance,y
/moskva/kvartiry/1-k_kvartira_45_m_1717_et._1819824813,4,2020-08-10,0,1,45,17,0,0,9.880492727191683,0.8888888888888888
/moskva/kvartiry/1-k_kvartira_45_m_1722_et._1922816996,6,2020-08-11,0,1,45,17,0,0,15.272748462756109,1.0444444444444445
/moskva/kvartiry/1-k_kvartira_45_m_1822_et._1954201880,6,2020-08-13,0,1,45,18,0,0,15.272748462756109,1.0444444444444445
/moskva/kvartiry/1-k_kvartira_45_m_1825_et._1968491097,16,2020-08-06,0,1,45,18,0,0,22.579784132396757,0.6666666666666666
/moskva/kvartiry/1-k_kvartira_45_m_1919_et._1963156889,14,2020-08-12,0,1,45,19,0,0,11.192041397390943,0.7777777777777778
/moskva/kvartiry/1-k_kvartira_45_m_19_et._1961877589,9,2020-08-13,0,1,45,1,0,0,22.579784132396757,0.8888888888888888
/moskva/kvartiry/1-k_kvartira_45_m_2122_et._657773342,12,2020-08-13,0,1,45,21,0,0,6.225509592284085,0.7777777777777778
/moskva/kvartiry/1-k_kvartira_45_m_214_et._621894247,19,2020-08-05,0,1,45,2,0,0,15.656473583949358,0.7777777777777778
/moskva/kvartiry/1-k_kvartira_45_m_215_et._1965755979,23,2020-08-13,0,1,45,2,0,0,8.854535352572697,0.8888888888888888
/moskva/kvartiry/1-k_kvartira_45_m_216_et._1980632106,9,2020-08-12,0,1,45,2,0,1,3.082867206614293,1.0
/moskva/kvartiry/1-k_kvartira_45_m_2224_et._179413182,11,2020-08-12,0,1,45,22,1,0,7.377513511565585,1.0888888888888888
/moskva/kvartiry/1-k_kvartira_45_m_2225_et._1978734852,16,2020-08-11,0,1,45,22,0,0,18.55746949466688,0.7777777777777778
/moskva/kvartiry/1-k_kvartira_45_m_2232_et._1969812543,2,2020-08-11,0,1,45,22,0,0,4.929521205774406,1.3333333333333333
/moskva/kvartiry/1-k_kvartira_45_m_2232_et._1974732753,2,2020-08-10,0,1,45,22,0,0,4.929521205774406,1.3333333333333333
/moskva/kvartiry/1-k_kvartira_45_m_23_et._1899813055,2,2020-08-12,0,1,45,2,0,0,4.271853909460736,1.1111111111111112
/moskva/kvartiry/1-k_kvartira_45_m_23_et._1954421546,2,2020-08-11,0,1,45,2,0,0,4.271853909460736,1.2222222222222223
/moskva/kvartiry/1-k_kvartira_45_m_28_et._1918039072,6,2020-08-05,0,1,45,2,0,1,2.8209813573920344,1.0
/moskva/kvartiry/1-k_kvartira_45_m_29_et._1970055785,22,2020-08-09,0,1,45,2,0,0,13.104947130339838,0.5555555555555556
/moskva/kvartiry/1-k_kvartira_45_m_316_et._1374034255,9,2020-08-14,0,1,45,3,0,0,9.665403161659539,1.1111111111111112
/moskva/kvartiry/1-k_kvartira_45_m_325_et._1983091168,9,2020-08-05,0,1,45,3,0,0,4.041818546236015,1.1111111111111112
/moskva/kvartiry/1-k_kvartira_45_m_33_et._1946283418,22,2020-08-05,0,1,45,3,0,0,23.49489277665689,0.4
/moskva/kvartiry/1-k_kvartira_45_m_3444_et._1967162374,7,2020-08-09,0,1,45,34,0,0,3.585903480779788,1.5555555555555556
/moskva/kvartiry/1-k_kvartira_45_m_35_et._1969824860,13,2020-08-10,0,1,45,3,0,0,10.477097307352325,1.0
/moskva/kvartiry/1-k_kvartira_45_m_36_et._1965502386,4,2020-08-12,0,1,45,3,0,0,4.209940184044391,0.7777777777777778
/moskva/kvartiry/1-k_kvartira_45_m_412_et._1969135962,4,2020-08-12,0,1,45,4,0,1,3.4395828872816336,1.5555555555555556
/moskva/kvartiry/1-k_kvartira_45_m_412_et._1969488678,15,2020-08-11,0,1,45,4,0,0,14.293167708857114,0.7333333333333333
/moskva/kvartiry/1-k_kvartira_45_m_413_et._1965406529,5,2020-08-13,0,1,45,4,0,0,7.518119314201787,1.6666444444444444
/moskva/kvartiry/1-k_kvartira_45_m_420_et._1957184834,17,2020-08-07,0,1,45,4,0,0,12.844090430537948,0.8888888888888888
/moskva/kvartiry/1-k_kvartira_45_m_432_et._1964230742,18,2020-08-13,0,1,45,4,0,0,14.517695813647885,0.6666666666666666
/moskva/kvartiry/1-k_kvartira_45_m_45_et._1926198884,8,2020-08-02,0,1,45,4,1,0,7.3223283805187585,0.8444444444444444
/moskva/kvartiry/1-k_kvartira_45_m_45_et._1973538719,14,2020-08-03,0,1,45,4,0,0,13.104947130339838,0.5777777777777777
/moskva/kvartiry/1-k_kvartira_45_m_45_et._1980809956,6,2020-08-14,0,1,45,4,0,0,11.368321538659833,0.6222222222222222
/moskva/kvartiry/1-k_kvartira_45_m_48_et._1791454210,2,2020-08-10,0,1,45,4,0,0,9.372435489307756,1.2
/moskva/kvartiry/1-k_kvartira_45_m_510_et._1618593161,5,2020-08-05,0,1,45,5,0,0,2.350441672322792,1.4444444444444444
/moskva/kvartiry/1-k_kvartira_45_m_512_et._1969502344,21,2020-08-11,0,1,45,5,0,0,9.207817966979363,0.8666666666666667
